Activity Type,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Date
Running,Warszawa Bieganie,16.06,954,14:03:45,157,170,4.1,170,191,00:04:32,3:35,57,56,1.3,00:47.14,18,01:12:23,01:22:04,76,92,2022-03-13
Running,Warszawa Bieganie,7.68,477,20:59:30,159,172,3.6,169,179,00:04:31,4:08,76,72,1.31,03:03.54,8,00:34:37,00:35:04,77,96,2022-03-10
Running,Warszawa Bieganie,35.67,"2,127",14:50:13,157,176,5.0,172,189,00:04:36,3:41,165,166,1.27,00:28.53,37,02:43:33,02:44:28,72,91,2022-03-06
Running,Warszawa Bieganie,7.81,472,19:24:40,151,164,3.2,167,176,00:04:46,3:58,74,76,1.25,03:40.26,8,00:37:10,00:38:01,77,93,2022-03-04
Running,Warszawa Bieganie,12.58,737,19:02:23,157,176,3.9,168,183,00:04:33,3:44,66,96,1.3,00:40.98,15,00:57:01,00:58:59,77,120,2022-03-01
Running,Izabelin Bieganie,33.84,"2,026",15:20:24,152,165,5.0,167,177,00:04:56,3:53,129,126,1.21,04:26.52,34,02:46:06,02:55:08,80,106,2022-02-27
Running,Warszawa Bieganie,12.04,758,20:37:31,156,181,3.9,165,194,00:04:58,3:43,34,32,1.22,01:41.82,13,00:59:29,01:00:52,62,89,2022-02-24
Treadmill Running,Bieg na bieżni,3.27,218,17:53:49,143,162,2.5,167,177,00:05:44,4:57,--,--,1.05,00:28.50,3,00:18:38,00:18:43,--,--,2022-02-22
Running,Rzewnie Bieganie,30.02,"1,790",12:25:42,160,171,5.0,169,179,00:04:39,3:59,84,80,1.27,00:05.13,31,02:18:09,02:21:02,81,99,2022-02-20
Running,Rzewnie Bieganie,5.21,301,16:15:22,158,173,3.2,170,179,00:04:21,3:41,29,29,1.35,00:58.97,6,00:22:31,00:22:39,83,98,2022-02-18
Running,Warszawa Bieganie,14.46,851,19:22:20,154,176,3.8,167,196,00:04:44,2:56,68,66,1.26,01:15.86,20,01:07:52,01:15:07,79,94,2022-02-15
Running,Warszawa Bieganie,28.04,"1,647",12:12:01,156,166,4.9,171,183,00:04:48,4:02,144,145,1.22,00:09.62,29,02:14:01,02:17:14,70,102,2022-02-12
Running,Warszawa Bieganie,14.82,949,17:27:35,154,185,4.0,162,201,00:05:08,2:53,140,148,1.2,00:52.03,20,01:14:43,01:40:14,77,118,2022-02-09
Treadmill Running,Bieg na bieżni,0.95,65,20:56:20,139,151,1.4,159,174,00:05:52,5:10,--,--,1.07,05:35.88,1,00:05:33,00:05:35.9,--,--,2022-02-08
Treadmill Running,Bieg na bieżni,1.84,131,19:55:28,138,146,2.0,157,203,00:06:17,3:30,--,--,1.16,03:09.44,2,00:11:06,00:11:33,--,--,2022-02-08
Running,Warszawa Bieganie,25.02,"1,405",14:29:31,155,170,4.8,169,185,00:04:47,3:41,72,71,1.23,00:01.38,27,01:58:51,02:05:01,77,104,2022-02-06
